tradingDate,ric,change,percentageChange,lastPrice,totalReturn,fullPrice,netPrice
20200528,.CDCGBI,,,,170.558118,110.969357,102.705132
20200529,.CDCGBI,,,,170.574494,110.974565,102.703728
20200601,.CDCGBI,,,,170.538543,110.936995,102.647514
20200602,.CDCGBI,,,,170.178001,110.702429,102.414595
20200603,.CDCGBI,,,,169.77443,110.42896,102.155234
20200604,.CDCGBI,,,,169.587114,110.306913,102.028749
20200605,.CDCGBI,,,,169.305468,110.115185,101.844296
20200608,.CDCGBI,,,,169.257137,110.049544,101.780472
20200609,.CDCGBI,,,,169.340794,110.100565,101.820017
20200610,.CDCGBI,,,,169.375081,110.118351,101.829718
20200611,.CDCGBI,,,,169.432115,110.153592,101.853398
20200612,.CDCGBI,,,,169.649571,110.290668,101.975666
20200615,.CDCGBI,,,,169.744151,110.294157,101.99968
20200616,.CDCGBI,,,,169.52003,110.146978,101.850574
20200617,.CDCGBI,,,,169.358232,110.004499,101.739769
20200618,.CDCGBI,,,,169.350989,109.965343,101.723946
20200619,.CDCGBI,,,,169.276085,109.901677,101.66653
20200622,.CDCGBI,,,,169.162996,109.814011,101.562899
20200623,.CDCGBI,,,,168.936425,109.666544,101.412246
20200624,.CDCGBI,,,,169.06683,109.749647,101.481037
20200628,.CDCGBI,,,,169.204915,109.832646,101.520439
20200629,.CDCGBI,,,,169.245138,109.858822,101.533793
20200630,.CDCGBI,,,,169.272699,109.875159,101.539363
20200701,.CDCGBI,,,,169.383296,109.946948,101.59583
20200702,.CDCGBI,,,,169.431288,109.975027,101.613953
20200703,.CDCGBI,,,,169.458976,109.984103,101.619641
20200706,.CDCGBI,,,,169.102452,109.686362,101.36747
20200707,.CDCGBI,,,,168.782862,109.473775,101.160433
20200708,.CDCGBI,,,,168.617517,109.366433,101.047879
20200709,.CDCGBI,,,,168.295478,109.133905,100.839341
20200710,.CDCGBI,,,,168.274062,109.113925,100.814952
20200713,.CDCGBI,,,,168.130258,108.965588,100.693055
20200714,.CDCGBI,,,,168.032767,108.894021,100.62206
20200715,.CDCGBI,,,,168.006729,108.84984,100.594837
20200716,.CDCGBI,,,,168.102818,108.908847,100.642435
20200717,.CDCGBI,,,,168.16737,108.924251,100.670712
20200720,.CDCGBI,,,,168.27445,108.911724,100.702515
20200721,.CDCGBI,,,,168.575716,109.103167,100.875857
20200722,.CDCGBI,,,,168.780532,109.225335,100.990103
20200723,.CDCGBI,,,,168.900453,109.293911,101.052325
20200724,.CDCGBI,,,,169.119075,109.396992,101.175031
20200727,.CDCGBI,,,,169.210833,109.396391,101.197484
20200728,.CDCGBI,,,,169.100437,109.297584,101.118545
20200729,.CDCGBI,,,,169.105033,109.295328,101.110095
20200730,.CDCGBI,,,,169.114022,109.298227,101.104338
20200731,.CDCGBI,,,,169.029588,109.243369,101.041314
20200803,.CDCGBI,,,,169.027513,109.182082,101.006297
20200804,.CDCGBI,,,,168.96342,109.140652,100.955978
20200805,.CDCGBI,,,,169.020481,109.173132,100.979512
20200806,.CDCGBI,,,,169.055288,109.19563,100.989481
20200807,.CDCGBI,,,,169.015088,109.166919,100.953758
20200810,.CDCGBI,,,,169.104424,109.187022,100.974483
20200811,.CDCGBI,,,,169.16811,109.224599,101.002064
20200812,.CDCGBI,,,,169.246214,109.275093,101.038441
20200813,.CDCGBI,,,,169.269651,109.290244,101.041486
20200814,.CDCGBI,,,,169.305994,109.280966,101.052402
20200817,.CDCGBI,,,,169.35623,109.296347,101.049304
20200818,.CDCGBI,,,,169.303748,109.258682,101.006061
20200819,.CDCGBI,,,,169.190318,109.165389,100.925663
20200820,.CDCGBI,,,,169.112716,109.115216,100.867107
20200821,.CDCGBI,,,,169.065906,109.059511,100.827326
20200824,.CDCGBI,,,,169.089482,108.978406,100.807981
20200825,.CDCGBI,,,,168.943272,108.880113,100.707584
20200826,.CDCGBI,,,,168.924968,108.858154,100.68518
20200827,.CDCGBI,,,,168.81462,108.767907,100.60665
20200828,.CDCGBI,,,,168.788794,108.745781,100.579661
20200831,.CDCGBI,,,,168.802945,108.730526,100.554584
20200901,.CDCGBI,,,,168.790284,108.719163,100.535712
20200902,.CDCGBI,,,,168.740048,108.681861,100.494039
20200903,.CDCGBI,,,,168.658956,108.623059,100.43364
20200904,.CDCGBI,,,,168.662153,108.620748,100.424391
20200907,.CDCGBI,,,,168.672468,108.585217,100.397087
20200908,.CDCGBI,,,,168.647871,108.562139,100.370969
20200909,.CDCGBI,,,,168.727924,108.612965,100.40837
20200910,.CDCGBI,,,,168.763565,108.629866,100.418813
20200911,.CDCGBI,,,,168.68659,108.569659,100.360903
20200914,.CDCGBI,,,,168.670054,108.500302,100.3173
20200915,.CDCGBI,,,,168.63857,108.476926,100.286998
20200916,.CDCGBI,,,,168.773379,108.537204,100.357646
20200917,.CDCGBI,,,,168.805432,108.551456,100.365914
20200918,.CDCGBI,,,,168.811612,108.544577,100.358476
20200921,.CDCGBI,,,,168.903984,108.536811,100.381464
20200922,.CDCGBI,,,,168.964358,108.559788,100.40692
20200923,.CDCGBI,,,,168.919945,108.524687,100.368755
20200924,.CDCGBI,,,,168.9593,108.541539,100.381449
20200925,.CDCGBI,,,,168.935353,108.514929,100.355709
20200927,.CDCGBI,,,,168.91655,108.468577,100.321898
20200928,.CDCGBI,,,,168.906205,108.461685,100.304415
20200929,.CDCGBI,,,,168.938725,108.481682,100.31296
20200930,.CDCGBI,,,,168.872465,108.438975,100.261527
20201009,.CDCGBI,,,,168.906036,108.458382,100.181065
20201010,.CDCGBI,,,,168.849994,108.422227,100.135992
20201012,.CDCGBI,,,,168.872753,108.410922,100.127359
20201013,.CDCGBI,,,,168.890609,108.405698,100.126958
20201014,.CDCGBI,,,,168.894334,108.375788,100.118014
20201015,.CDCGBI,,,,168.924595,108.36168,100.125112
20201016,.CDCGBI,,,,168.884643,108.327994,100.089764
20201019,.CDCGBI,,,,168.991136,108.33691,100.120558
20201020,.CDCGBI,,,,169.063157,108.378999,100.152903
20201021,.CDCGBI,,,,169.163938,108.425141,100.202635
20201022,.CDCGBI,,,,169.345533,108.534662,100.301226
20201023,.CDCGBI,,,,169.415973,108.575813,100.332616
20201026,.CDCGBI,,,,169.452337,108.553782,100.321022
20201027,.CDCGBI,,,,169.412597,108.492158,100.2858
20201028,.CDCGBI,,,,169.416154,108.48771,100.276757
20201029,.CDCGBI,,,,169.447212,108.498357,100.284343
20201030,.CDCGBI,,,,169.447244,108.490031,100.273169
20201102,.CDCGBI,,,,169.534982,108.462598,100.292497
20201103,.CDCGBI,,,,169.612354,108.506202,100.32793
20201104,.CDCGBI,,,,169.673625,108.538657,100.35367
20201105,.CDCGBI,,,,169.723587,108.545654,100.372596
20201106,.CDCGBI,,,,169.752913,108.55181,100.379089
20201109,.CDCGBI,,,,169.768068,108.493,100.354696
20201110,.CDCGBI,,,,169.754015,108.481413,100.335052
20201111,.CDCGBI,,,,169.728036,108.448367,100.308223
20201112,.CDCGBI,,,,169.641041,108.381512,100.244627
20201113,.CDCGBI,,,,169.418551,108.218425,100.099389
20201116,.CDCGBI,,,,169.433387,108.173764,100.074799
20201117,.CDCGBI,,,,169.425773,108.149625,100.059032
20201118,.CDCGBI,,,,169.407647,108.130645,100.03693
20201119,.CDCGBI,,,,169.339054,108.076342,99.984418
20201120,.CDCGBI,,,,169.217571,107.99037,99.900035
20201123,.CDCGBI,,,,169.352757,107.968538,99.947969
20201124,.CDCGBI,,,,169.346319,107.962622,99.93291
20201125,.CDCGBI,,,,169.433378,108.009503,99.974191
20201126,.CDCGBI,,,,169.467725,107.985739,99.983709
20201127,.CDCGBI,,,,169.469272,107.953581,99.973461
20201130,.CDCGBI,,,,169.691793,108.040171,100.074029
20201201,.CDCGBI,,,,169.79357,108.094095,100.123809
20201202,.CDCGBI,,,,169.815694,108.099031,100.125893
20201203,.CDCGBI,,,,169.815528,108.095603,100.114629
20201204,.CDCGBI,,,,169.869717,108.124382,100.135913
20201207,.CDCGBI,,,,169.901049,108.081957,100.121184
20201208,.CDCGBI,,,,169.927257,108.076147,100.125713
20201209,.CDCGBI,,,,169.907285,108.062435,100.10259
20201210,.CDCGBI,,,,169.992073,108.114425,100.142202
20201211,.CDCGBI,,,,170.012473,108.126772,100.143255
20201214,.CDCGBI,,,,170.040298,108.081484,100.126432
20201215,.CDCGBI,,,,170.11808,108.131013,100.161853
20201216,.CDCGBI,,,,170.196201,108.169824,100.197477
