tradingDate,ric,change,percentageChange,lastPrice,totalReturn,fullPrice,netPrice
2020-05-28,.CDCGBI,,,,170.558118,110.969357,102.705132
2020-05-29,.CDCGBI,,,,170.574494,110.974565,102.703728
2020-06-01,.CDCGBI,,,,170.538543,110.936995,102.647514
2020-06-02,.CDCGBI,,,,170.178001,110.702429,102.414595
2020-06-03,.CDCGBI,,,,169.77443,110.42896,102.155234
2020-06-04,.CDCGBI,,,,169.587114,110.306913,102.028749
2020-06-05,.CDCGBI,,,,169.305468,110.115185,101.844296
2020-06-08,.CDCGBI,,,,169.257137,110.049544,101.780472
2020-06-09,.CDCGBI,,,,169.340794,110.100565,101.820017
2020-06-10,.CDCGBI,,,,169.375081,110.118351,101.829718
2020-06-11,.CDCGBI,,,,169.432115,110.153592,101.853398
2020-06-12,.CDCGBI,,,,169.649571,110.290668,101.975666
2020-06-15,.CDCGBI,,,,169.744151,110.294157,101.99968
2020-06-16,.CDCGBI,,,,169.52003,110.146978,101.850574
2020-06-17,.CDCGBI,,,,169.358232,110.004499,101.739769
2020-06-18,.CDCGBI,,,,169.350989,109.965343,101.723946
2020-06-19,.CDCGBI,,,,169.276085,109.901677,101.66653
2020-06-22,.CDCGBI,,,,169.162996,109.814011,101.562899
2020-06-23,.CDCGBI,,,,168.936425,109.666544,101.412246
2020-06-24,.CDCGBI,,,,169.06683,109.749647,101.481037
2020-06-28,.CDCGBI,,,,169.204915,109.832646,101.520439
2020-06-29,.CDCGBI,,,,169.245138,109.858822,101.533793
2020-06-30,.CDCGBI,,,,169.272699,109.875159,101.539363
2020-07-01,.CDCGBI,,,,169.383296,109.946948,101.59583
2020-07-02,.CDCGBI,,,,169.431288,109.975027,101.613953
2020-07-03,.CDCGBI,,,,169.458976,109.984103,101.619641
2020-07-06,.CDCGBI,,,,169.102452,109.686362,101.36747
2020-07-07,.CDCGBI,,,,168.782862,109.473775,101.160433
2020-07-08,.CDCGBI,,,,168.617517,109.366433,101.047879
2020-07-09,.CDCGBI,,,,168.295478,109.133905,100.839341
2020-07-10,.CDCGBI,,,,168.274062,109.113925,100.814952
2020-07-13,.CDCGBI,,,,168.130258,108.965588,100.693055
2020-07-14,.CDCGBI,,,,168.032767,108.894021,100.62206
2020-07-15,.CDCGBI,,,,168.006729,108.84984,100.594837
2020-07-16,.CDCGBI,,,,168.102818,108.908847,100.642435
2020-07-17,.CDCGBI,,,,168.16737,108.924251,100.670712
2020-07-20,.CDCGBI,,,,168.27445,108.911724,100.702515
2020-07-21,.CDCGBI,,,,168.575716,109.103167,100.875857
2020-07-22,.CDCGBI,,,,168.780532,109.225335,100.990103
2020-07-23,.CDCGBI,,,,168.900453,109.293911,101.052325
2020-07-24,.CDCGBI,,,,169.119075,109.396992,101.175031
2020-07-27,.CDCGBI,,,,169.210833,109.396391,101.197484
2020-07-28,.CDCGBI,,,,169.100437,109.297584,101.118545
2020-07-29,.CDCGBI,,,,169.105033,109.295328,101.110095
2020-07-30,.CDCGBI,,,,169.114022,109.298227,101.104338
2020-07-31,.CDCGBI,,,,169.029588,109.243369,101.041314
2020-08-03,.CDCGBI,,,,169.027513,109.182082,101.006297
2020-08-04,.CDCGBI,,,,168.96342,109.140652,100.955978
2020-08-05,.CDCGBI,,,,169.020481,109.173132,100.979512
2020-08-06,.CDCGBI,,,,169.055288,109.19563,100.989481
2020-08-07,.CDCGBI,,,,169.015088,109.166919,100.953758
2020-08-10,.CDCGBI,,,,169.104424,109.187022,100.974483
2020-08-11,.CDCGBI,,,,169.16811,109.224599,101.002064
2020-08-12,.CDCGBI,,,,169.246214,109.275093,101.038441
2020-08-13,.CDCGBI,,,,169.269651,109.290244,101.041486
2020-08-14,.CDCGBI,,,,169.305994,109.280966,101.052402
2020-08-17,.CDCGBI,,,,169.35623,109.296347,101.049304
2020-08-18,.CDCGBI,,,,169.303748,109.258682,101.006061
2020-08-19,.CDCGBI,,,,169.190318,109.165389,100.925663
2020-08-20,.CDCGBI,,,,169.112716,109.115216,100.867107
2020-08-21,.CDCGBI,,,,169.065906,109.059511,100.827326
2020-08-24,.CDCGBI,,,,169.089482,108.978406,100.807981
2020-08-25,.CDCGBI,,,,168.943272,108.880113,100.707584
2020-08-26,.CDCGBI,,,,168.924968,108.858154,100.68518
2020-08-27,.CDCGBI,,,,168.81462,108.767907,100.60665
2020-08-28,.CDCGBI,,,,168.788794,108.745781,100.579661
2020-08-31,.CDCGBI,,,,168.802945,108.730526,100.554584
2020-09-01,.CDCGBI,,,,168.790284,108.719163,100.535712
2020-09-02,.CDCGBI,,,,168.740048,108.681861,100.494039
2020-09-03,.CDCGBI,,,,168.658956,108.623059,100.43364
2020-09-04,.CDCGBI,,,,168.662153,108.620748,100.424391
2020-09-07,.CDCGBI,,,,168.672468,108.585217,100.397087
2020-09-08,.CDCGBI,,,,168.647871,108.562139,100.370969
2020-09-09,.CDCGBI,,,,168.727924,108.612965,100.40837
2020-09-10,.CDCGBI,,,,168.763565,108.629866,100.418813
2020-09-11,.CDCGBI,,,,168.68659,108.569659,100.360903
2020-09-14,.CDCGBI,,,,168.670054,108.500302,100.3173
2020-09-15,.CDCGBI,,,,168.63857,108.476926,100.286998
2020-09-16,.CDCGBI,,,,168.773379,108.537204,100.357646
2020-09-17,.CDCGBI,,,,168.805432,108.551456,100.365914
2020-09-18,.CDCGBI,,,,168.811612,108.544577,100.358476
2020-09-21,.CDCGBI,,,,168.903984,108.536811,100.381464
2020-09-22,.CDCGBI,,,,168.964358,108.559788,100.40692
2020-09-23,.CDCGBI,,,,168.919945,108.524687,100.368755
2020-09-24,.CDCGBI,,,,168.9593,108.541539,100.381449
2020-09-25,.CDCGBI,,,,168.935353,108.514929,100.355709
2020-09-27,.CDCGBI,,,,168.91655,108.468577,100.321898
2020-09-28,.CDCGBI,,,,168.906205,108.461685,100.304415
2020-09-29,.CDCGBI,,,,168.938725,108.481682,100.31296
2020-09-30,.CDCGBI,,,,168.872465,108.438975,100.261527
2020-10-09,.CDCGBI,,,,168.906036,108.458382,100.181065
2020-10-10,.CDCGBI,,,,168.849994,108.422227,100.135992
2020-10-12,.CDCGBI,,,,168.872753,108.410922,100.127359
2020-10-13,.CDCGBI,,,,168.890609,108.405698,100.126958
2020-10-14,.CDCGBI,,,,168.894334,108.375788,100.118014
2020-10-15,.CDCGBI,,,,168.924595,108.36168,100.125112
2020-10-16,.CDCGBI,,,,168.884643,108.327994,100.089764
2020-10-19,.CDCGBI,,,,168.991136,108.33691,100.120558
2020-10-20,.CDCGBI,,,,169.063157,108.378999,100.152903
2020-10-21,.CDCGBI,,,,169.163938,108.425141,100.202635
2020-10-22,.CDCGBI,,,,169.345533,108.534662,100.301226
2020-10-23,.CDCGBI,,,,169.415973,108.575813,100.332616
2020-10-26,.CDCGBI,,,,169.452337,108.553782,100.321022
2020-10-27,.CDCGBI,,,,169.412597,108.492158,100.2858
2020-10-28,.CDCGBI,,,,169.416154,108.48771,100.276757
2020-10-29,.CDCGBI,,,,169.447212,108.498357,100.284343
2020-10-30,.CDCGBI,,,,169.447244,108.490031,100.273169
2020-11-02,.CDCGBI,,,,169.534982,108.462598,100.292497
2020-11-03,.CDCGBI,,,,169.612354,108.506202,100.32793
2020-11-04,.CDCGBI,,,,169.673625,108.538657,100.35367
2020-11-05,.CDCGBI,,,,169.723587,108.545654,100.372596
2020-11-06,.CDCGBI,,,,169.752913,108.55181,100.379089
2020-11-09,.CDCGBI,,,,169.768068,108.493,100.354696
2020-11-10,.CDCGBI,,,,169.754015,108.481413,100.335052
2020-11-11,.CDCGBI,,,,169.728036,108.448367,100.308223
2020-11-12,.CDCGBI,,,,169.641041,108.381512,100.244627
2020-11-13,.CDCGBI,,,,169.418551,108.218425,100.099389
2020-11-16,.CDCGBI,,,,169.433387,108.173764,100.074799
2020-11-17,.CDCGBI,,,,169.425773,108.149625,100.059032
2020-11-18,.CDCGBI,,,,169.407647,108.130645,100.03693
2020-11-19,.CDCGBI,,,,169.339054,108.076342,99.984418
2020-11-20,.CDCGBI,,,,169.217571,107.99037,99.900035
2020-11-23,.CDCGBI,,,,169.352757,107.968538,99.947969
2020-11-24,.CDCGBI,,,,169.346319,107.962622,99.93291
2020-11-25,.CDCGBI,,,,169.433378,108.009503,99.974191
2020-11-26,.CDCGBI,,,,169.467725,107.985739,99.983709
2020-11-27,.CDCGBI,,,,169.469272,107.953581,99.973461
